DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Quesada           ,21001,2397,9,19,28,17,11,0,0,0,0,11,28,3.448275862,25,3,2,1,0,1,0,0,0,28,2.272727272,8,2,18,10,28,4.201680672,0,7,17,0.0,161.8799,77.45576221911564,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,106.63504127701201,28.73776932621153
Quesada           ,21001,2688,70,91,161,122,35,4,0,0,0,39,161,12.225705329,144,17,3,3,3,12,5,6,2,161,12.878787878,44,12,105,56,161,23.529411764,1,68,60,4.0,95.781,25.279848316331805,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,97.17034853922817,25.67827359997103
Quesada           ,21001,2761,50,56,106,101,4,0,0,0,1,4,106,1.253918495,104,2,0,0,0,1,0,0,1,106,1.515151515,28,7,71,35,106,14.705882352,0,43,38,0.0,91.8946,22.21207454412411,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,58.943622158020474,13.321347788256316
Quesada           ,21001,2798,62,69,131,119,12,0,0,0,0,12,131,3.761755485,120,11,4,4,2,6,0,1,0,131,8.333333333,36,5,90,41,131,17.226890756,0,58,42,0.0,97.0386,26.272549092352904,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,74.85112391824926,18.463504538500597
Quesada           ,21001,2902,19,12,31,31,0,0,0,0,0,0,31,0.0,29,2,0,0,0,0,0,1,1,31,1.515151515,5,2,24,7,31,2.94117647,0,11,17,0.0,133.3199,54.911603374361704,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,78.62452661125808,19.68327043396992
Quesada           ,21001,3261,31,28,59,28,9,15,7,0,0,31,59,9.717868338,54,5,2,0,0,3,2,0,0,59,3.787878787,17,6,36,23,59,9.663865546,1,20,23,4.0,133.32,54.91168231049211,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,101.33789023338848,27.02544633504686
Quesada           ,21001,3329,19,22,41,38,3,0,0,0,0,3,41,0.940438871,41,0,0,0,0,0,0,0,0,41,0.0,7,3,31,10,41,4.201680672,0,20,14,0.0,104.76,32.36752346573817,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,56.76623826063453,12.61750066791155
Quesada           ,21001,3438,7,7,14,10,4,0,0,0,0,4,14,1.253918495,12,2,2,0,0,0,0,0,0,14,1.515151515,4,0,10,4,14,1.680672268,0,5,6,0.0,180.92,92.48528038508202,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,116.1916179149784,31.826966851306686
Quesada           ,21001,3482,27,28,55,50,5,0,0,0,0,5,55,1.567398119,54,1,0,0,0,1,0,0,0,55,0.757575757,17,3,35,20,55,8.403361344,0,26,15,0.0,83.5106,15.594069370650125,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,45.57899984254649,9.001185899241284
Quesada           ,21001,3513,161,176,337,274,39,14,10,0,0,63,337,19.7492163,284,53,37,5,2,10,5,1,2,337,40.151515151,107,16,214,123,337,51.680672268,4,134,111,16.0,74.5464,8.518076768544267,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,155.35607573944063,44.487017700725524
