DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Nicoya            ,50201,38954,11,13,24,24,0,0,0,0,0,0,24,0.0,16,8,6,1,0,0,0,1,0,24,8.791208791,6,0,18,6,24,2.702702702,2,10,8,15.384615384,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,114.14303835826925,33.3649368212464
Nicoya            ,50201,38979,25,27,52,45,4,3,0,0,0,7,52,3.626943005,52,0,0,0,0,0,0,0,0,52,0.0,11,2,39,13,52,5.855855855,1,16,26,7.692307692,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,104.43961803326926,30.319505737392653
Nicoya            ,50201,39014,16,22,38,21,17,0,0,0,0,17,38,8.808290155,36,2,1,1,0,1,0,0,0,38,2.197802197,9,4,25,13,38,5.855855855,0,8,22,0.0,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,104.12645968826925,30.221220583695445
Nicoya            ,50201,39016,64,65,129,82,38,0,9,0,0,47,129,24.352331606,110,19,13,0,0,8,1,2,0,129,20.879120879,30,2,97,32,129,14.414414414,1,54,48,7.692307692,99.4652,16.002611103468205,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,96.97485695366439,27.976680768056873
Nicoya            ,50201,39102,119,113,232,125,73,31,3,0,0,107,232,55.440414507,219,13,2,2,1,3,4,3,3,232,14.285714285,58,22,152,80,232,36.036036036,13,63,108,100.0,95.2285,12.090849411901573,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,231.48708549909773,70.1935185685674
Nicoya            ,50201,39114,75,87,162,124,22,16,0,0,0,38,162,19.68911917,137,25,13,7,5,9,3,4,0,162,27.472527472,36,10,116,46,162,20.72072072,0,43,86,0.0,105.4128,21.494053461143217,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,103.0104920823394,29.870972699769776
Nicoya            ,50201,39143,65,58,123,46,29,40,4,4,0,77,123,39.896373056,103,20,10,2,2,8,1,10,0,123,21.978021978,38,5,80,43,123,19.369369369,2,41,48,15.384615384,85.0117,2.657637985461656,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,112.92008903165785,32.98111258520411
Nicoya            ,50201,39157,13,16,29,14,15,0,0,0,0,15,29,7.772020725,29,0,0,0,0,0,0,0,0,29,0.0,4,0,25,4,29,1.801801801,0,9,17,0.0,152.36,64.84058696276408,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,88.04848074796027,25.175125991234008
Nicoya            ,50201,39169,70,60,130,78,48,4,0,0,0,52,130,26.943005181,112,18,8,4,2,5,0,1,2,130,19.78021978,36,8,86,44,130,19.819819819,4,33,62,30.769230769,96.0981,12.89375449533593,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,123.84010130353212,36.40837263320479
Nicoya            ,50201,39185,33,37,70,44,13,7,6,0,0,26,70,13.47150259,66,4,3,0,0,1,0,0,0,70,4.395604395,23,1,46,24,70,10.81081081,0,28,22,0.0,99.9831,16.48079020042158,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,58.79277925461778,15.993186043912214
